Roll_No,Name,Gender,Semester,Branch,Attandance,Maths,DS,OS,DBMS,AI,Study_houre,Final_Percentage,Performance_Label,Father_Name,Mother_Name,Blood_Group,Date_of_Birth,Age,City,Address,Pincode,State,Country,Participant,Mobile_Number,Email_ID,Game
RGPV0017,Parinaaz Bhalla,Male,6th,AIML,94,98,89,75,50,78,6,78,Excellent,Aarna Sood,Gokul Ramakrishnan,O+,20-04-2006,20,Mysuru,"House No. 543, Nazarbad, Mysuru",90758,Karnataka,India,No,7573896459,ranbir28@gmail.com,Kabaddi
RGPV0018,Indranil Venkataraman,Female,6th,CSE,61,53,47,100,41,41,4,56.4,Poor,Advika Dayal,Sahil Doshi,AB+,09-06-2001,20,Lucknow,"House No. 416, Hazratganj, Lucknow",609731,Uttar Pradesh,India,No,5704802406,suhana77@talwar-rout.biz,Kabaddi
RGPV0019,Rati Kala,Female,6th,DS,67,82,64,80,86,40,6,70.4,Average,Kiara Tella,Raunak Tella,AB+,17-12-2000,21,Mysuru,"House No. 114, VV Mohalla, Mysuru",977747,Karnataka,India,No,3246691590,damini81@master.com,Cricket
RGPV0020,Lavanya Keer,Male,6th,AIDS,75,56,79,87,56,62,5,68,Average,Ira Sur,Alisha Majumdar,O+,31-01-2005,20,Jodhpur,"House No. 533, Paota, Jodhpur",128869,Rajasthan,India,Yes,3451768181,ishaan55@ganesh-sidhu.net,Chess
RGPV0021,Fateh Salvi,Male,6th,CSE,65,42,97,93,66,97,6,79,Excellent,Devansh Rau,Advik Sunder,AB-,03-06-2003,20,Jabalpur,"House No. 999, Gorakhpur, Jabalpur",678718,Madhya Pradesh,India,No,7561012333,sastryzeeshan@dutt-kohli.net,Chess
RGPV0022,Lagan Wagle,Male,6th,CSE,80,84,86,68,98,92,7,85.6,Excellent,Miraya Bumb,Mamooty Mani,O+,06-04-2005,19,Patna,"House No. 584, Rajendra Nagar, Patna",915126,Bihar,India,No,6034883124,buchjivika@gour-wason.com,Chess
RGPV0023,Farhan Acharya,Female,6th,CSIT,70,87,93,68,45,56,5,69.8,Average,Vivaan Sankaran,Tarini Chacko,B+,17-08-2004,21,Mangalore,"House No. 618, Hampankatta, Mangalore",512937,Karnataka,India,No,2007510950,nswamy@roy.com,Cricket
RGPV0024,Kaira Sarin,Female,6th,CSIT,91,46,74,60,89,54,5,64.6,Average,Pranay Swaminathan,Hridaan Chadha,AB+,15-01-2003,19,Udaipur,"House No. 299, Fatehpura, Udaipur",796238,Rajasthan,India,Yes,6454260787,uthkarshdhar@yahoo.com,Chess
RGPV0025,Vedika Halder,Male,6th,CSE,82,43,53,87,75,88,5,69.2,Average,Dharmajan Shah,Lavanya Banik,A-,02-01-2001,21,Udaipur,"House No. 710, Hiran Magri, Udaipur",502979,Rajasthan,India,Yes,7318465983,ckurian@gmail.com,
RGPV0026,Sana Mand,Male,6th,CSE,87,74,88,61,45,60,5,65.6,Average,Nirvi Khare,Himmat Mani,A-,29-01-2005,19,Coimbatore,"House No. 503, RS Puram, Coimbatore",167649,Tamil Nadu,India,Yes,5549113298,janisaira@yahoo.com,Badminton
RGPV0027,Dishani Bora,Male,6th,CSIT,80,52,85,98,74,93,7,80.4,Excellent,Emir Jayaraman,Urvi Gade,AB+,27-02-2007,20,Ahmedabad,"House No. 354, Satellite, Ahmedabad",486433,Gujarat,India,No,7498755307,ndutt@hotmail.com,Badminton
RGPV0028,Aniruddh Tara,Female,6th,DS,84,51,98,47,56,47,4,59.8,Poor,Kaira Sanghvi,Onkar Chaudry,B+,30-07-2003,19,Chennai,"House No. 665, Anna Nagar, Chennai",451146,Tamil Nadu,India,No,706162459,shanayakale@gmail.com,Kabaddi
RGPV0029,Taran Goel,Male,6th,CSE,85,81,72,67,81,54,6,71,Average,Nakul Thaman,Indrajit Issac,A-,01-02-2001,20,Ahmedabad,"House No. 892, Satellite, Ahmedabad",103806,Gujarat,India,No,7962519118,kismat33@kamdar.com,Chess
RGPV0030,Jivin Vyas,Female,6th,AIDS,74,89,79,45,92,62,6,73.4,Average,Azad Tripathi,Prerak Kant,B-,16-03-2006,21,Siliguri,"House No. 277, Hakim Para, Siliguri",273415,West Bengal,India,Yes,9552153692,xray@hotmail.com,Badminton
RGPV0031,Hiran Butala,Female,6th,CSIT,90,98,45,65,86,44,5,67.6,Average,Vidur Chawla,Raghav Badami,AB+,20-07-2006,21,Amritsar,"House No. 738, GT Road, Amritsar",301304,Punjab,India,No,3114791287,kandaanika@varughese.com,Football
RGPV0032,Aarav Lanka,Female,6th,CSIT,72,85,100,80,57,91,7,82.6,Excellent,Madhup Madan,Ojas Raju,O+,29-04-2000,20,Indore,"House No. 315, Vijay Nagar, Indore",819097,Madhya Pradesh,India,No,2413379398,khushitandon@khurana.org,Kabaddi
RGPV0033,Pari Samra,Male,6th,CSE,73,53,92,50,49,84,5,65.6,Average,Prisha Malhotra,Mannat Kanda,O-,22-02-2008,19,Udaipur,"House No. 163, Shobhagpura, Udaipur",458064,Rajasthan,India,No,3709637522,mamootysrinivasan@bera.info,Cricket
RGPV0034,Renee Sahota,Male,6th,DS,91,91,63,91,89,50,6,76.8,Excellent,Kaira Bhargava,Riaan Rout,B+,25-05-2002,20,Bhopal,"House No. 793, MP Nagar, Bhopal",295352,Madhya Pradesh,India,No,527763699,godamamooty@gmail.com,Football
RGPV0035,Kanav Kala,Male,6th,AIDS,63,68,53,79,62,83,5,69,Average,Alisha Chanda,Zara Ghose,O-,04-03-2001,20,Ahmedabad,"House No. 931, Navrangpura, Ahmedabad",58864,Gujarat,India,No,7138953695,wraj@manda-jhaveri.com,Football
RGPV0036,Piya Sinha,Male,6th,DS,88,99,56,97,57,91,6,80,Excellent,Manjari Ramakrishnan,Mehul Raman,O+,07-04-2002,19,Kolkata,"House No. 834, Garia, Kolkata",965237,West Bengal,India,No,5895998485,ladanvi@singh.com,
RGPV0037,Uthkarsh Chaudhry,Male,6th,DS,88,63,99,56,94,56,6,73.6,Average,Seher Kibe,Urvi Sandhu,A+,25-06-2002,19,Ahmedabad,"House No. 423, Maninagar, Ahmedabad",656163,Gujarat,India,Yes,177650844,vritikawagle@gmail.com,Football
RGPV0038,Nishith Gera,Male,6th,DS,74,64,61,67,44,94,5,66,Average,Uthkarsh Vig,Anay Tailor,B+,11-04-2006,20,Coimbatore,"House No. 337, Saibaba Colony, Coimbatore",941373,Tamil Nadu,India,Yes,7263441732,xkrishna@hotmail.com,
RGPV0039,Khushi Suri,Female,6th,AIML,69,95,79,82,57,72,6,77,Excellent,Raghav Yohannan,Nayantara Hegde,O+,03-04-2007,20,Amritsar,"House No. 153, GT Road, Amritsar",927617,Punjab,India,No,9585241998,shalv91@yahoo.com,Badminton
RGPV0040,Keya Keer,Male,6th,DS,64,71,41,46,73,49,4,56,Poor,Jivin Dayal,Tanya Bala,AB+,10-05-2001,19,Jabalpur,"House No. 36, Wright Town, Jabalpur",806774,Madhya Pradesh,India,No,3614950859,fatehgade@ramesh-sandhu.com,Chess
RGPV0041,Lagan Gandhi,Male,6th,CSIT,71,42,69,58,47,70,4,57.2,Poor,Sumer Divan,Alia Karpe,O-,21-03-2000,20,Varanasi,"House No. 519, Sigra, Varanasi",264729,Uttar Pradesh,India,Yes,3492171530,kismatramaswamy@yahoo.com,Kabaddi
RGPV0042,Prerak Kala,Female,6th,CSE,96,47,85,58,85,53,5,65.6,Average,Manjari Kale,Mahika Dubey,A+,24-08-2004,20,Madurai,"House No. 275, Anna Nagar, Madurai",672774,Tamil Nadu,India,Yes,3742686140,bahlcharvi@yahoo.com,Kabaddi
RGPV0043,Gokul Sami,Female,6th,CSIT,75,51,81,53,91,58,5,66.8,Average,Neysa Chada,Saanvi Sachdev,AB-,13-07-2006,21,Udaipur,"House No. 424, Fatehpura, Udaipur",141059,Rajasthan,India,No,5254116925,keya31@jhaveri-koshy.biz,Badminton
RGPV0044,Kashvi Chandra,Male,6th,AIML,70,59,67,58,51,73,5,61.6,Average,Oorja Butala,Jayesh Bawa,O-,29-11-2002,20,Bhopal,"House No. 764, MP Nagar, Bhopal",809364,Madhya Pradesh,India,Yes,7874527987,baradaarna@hotmail.com,Chess
RGPV0045,Nehmat Chatterjee,Male,6th,CSE,100,95,61,78,69,75,6,75.6,Excellent,Vihaan Sani,Inaaya  Dass,B+,20-01-2007,19,Jaipur,"House No. 607, Mansarovar, Jaipur",2349,Rajasthan,India,No,2995408857,umanglad@gmail.com,Badminton
RGPV0046,Yakshit Vohra,Female,6th,AIML,95,99,71,53,53,73,5,69.8,Average,Nayantara Buch,Raghav Ravel,O+,18-03-2004,19,Kolkata,"House No. 595, Salt Lake, Kolkata",712675,West Bengal,India,Yes,5219679270,rohan08@subramanian.info,Badminton
RGPV0047,Himmat Sundaram,Male,6th,CSE,79,49,85,64,51,44,4,58.6,Poor,Fateh Goel,Baiju Manda,A-,22-06-2004,21,Amritsar,"House No. 361, GT Road, Amritsar",275969,Punjab,India,No,5361175021,anaya87@viswanathan-wadhwa.com,Cricket
RGPV0048,Ira Subramanian,Male,6th,CSIT,71,90,50,51,64,40,4,59,Poor,Gatik Kalla,Zoya Sekhon,B+,01-09-2005,19,Jodhpur,"House No. 740, Sardarpura, Jodhpur",705106,Rajasthan,India,Yes,7786674839,indrajitbedi@gmail.com,Cricket
RGPV0049,Priyansh Bahri,Female,6th,AIML,98,62,41,43,40,67,4,50.6,Poor,Nayantara Magar,Emir Deol,O-,27-12-2006,20,Mumbai,"House No. 712, Dadar, Mumbai",786818,Maharashtra,India,Yes,6205432968,bvaidya@gmail.com,Chess
RGPV0050,Umang Ramachandran,Male,6th,AIDS,77,54,80,90,50,47,5,64.2,Average,Abram Ranganathan,Heer Choudhury,AB+,03-03-2000,21,Madurai,"House No. 663, Anna Nagar, Madurai",324213,Tamil Nadu,India,Yes,5806485654,tarini78@dora.info,Kabaddi
RGPV0051,Aradhya Sha,Female,6th,AIDS,87,46,70,43,58,49,4,53.2,Poor,Shamik Bora,Vedika Sahota,O+,13-04-2005,21,Madurai,"House No. 938, Goripalayam, Madurai",475800,Tamil Nadu,India,No,4925608492,vanya22@hotmail.com,Chess
RGPV0052,Sara Bobal,Male,6th,CSIT,65,67,70,42,87,71,5,67.4,Average,Aaryahi Devi,Ishaan Keer,B-,29-04-2002,21,Kanpur,"House No. 377, Kakadeo, Kanpur",286586,Uttar Pradesh,India,Yes,1922720725,hazelchacko@gmail.com,Football
RGPV0053,Aarush Kothari,Male,6th,DS,64,52,50,50,50,99,5,60.2,Average,Kiaan Venkataraman,Mishti Rao,A+,25-07-2004,21,Indore,"House No. 317, Vijay Nagar, Indore",25621,Madhya Pradesh,India,Yes,9817888413,prerakbains@gmail.com,Badminton
RGPV0054,Shanaya Sandal,Female,6th,AIDS,64,64,60,86,41,94,5,69,Average,Eshani Dua,Adira Ratta,O-,02-01-2004,20,Bhopal,"House No. 870, Kolar Road, Bhopal",431648,Madhya Pradesh,India,Yes,3963742577,ryanjoshi@kala.com,Kabaddi
RGPV0055,Pari Andra,Female,6th,DS,65,99,94,50,84,41,6,73.6,Average,Keya Rout,Shlok Shanker,A+,11-06-2004,19,Coimbatore,"House No. 907, Saibaba Colony, Coimbatore",617656,Tamil Nadu,India,Yes,2808142118,arnav34@yahoo.com,Football
RGPV0056,Hiran Kashyap,Male,6th,AIDS,77,67,79,67,41,55,5,61.8,Average,Armaan Sachar,Ishita Zachariah,O+,15-05-2003,20,Coimbatore,"House No. 195, Peelamedu, Coimbatore",319877,Tamil Nadu,India,No,199595069,nehmat54@krishna-dixit.com,
RGPV0057,Baiju Bhagat,Female,6th,AIDS,85,51,100,97,91,71,7,82,Excellent,Priyansh Singhal,Shanaya Apte,AB+,05-09-2007,19,Udaipur,"House No. 109, Fatehpura, Udaipur",123838,Rajasthan,India,No,1007702520,amira44@ravi.com,Cricket
RGPV0058,Tarini Sura,Female,6th,AIML,97,72,90,91,70,43,6,73.2,Average,Keya Kar,Ishita Wagle,B-,21-02-2008,19,Patna,"House No. 141, Rajendra Nagar, Patna",447666,Bihar,India,No,5570786781,rkadakia@gmail.com,Kabaddi
RGPV0059,Mahika Ghose,Female,6th,AIML,70,50,54,77,82,83,5,69.2,Average,Lakshit Sastry,Mohanlal Bhattacharyya,B-,10-09-2005,19,Mangalore,"House No. 274, Hampankatta, Mangalore",18257,Karnataka,India,Yes,9463249360,taran54@gmail.com,Cricket
RGPV0060,Yuvaan Kala,Male,6th,DS,72,73,72,76,77,86,6,76.8,Excellent,Jivika Dugal,Sahil Toor,AB+,17-10-2001,19,Varanasi,"House No. 837, Bhelupur, Varanasi",654842,Uttar Pradesh,India,Yes,227638040,lagan91@bhandari.com,Football
RGPV0061,Abram Tara,Male,6th,AIDS,96,85,44,68,57,82,5,67.2,Average,Priyansh Dugal,Jayan Raman,AB+,04-09-2005,19,Kolkata,"House No. 791, Salt Lake, Kolkata",539586,West Bengal,India,Yes,2322006463,sanadara@hotmail.com,
RGPV0062,Dishani Sethi,Male,6th,AIML,76,88,84,84,41,91,6,77.6,Excellent,Anvi Krishnamurthy,Taimur Bandi,A+,02-08-2006,19,Durgapur,"House No. 979, City Center, Durgapur",548792,West Bengal,India,Yes,9997254872,lakshaycheema@sem-tandon.com,
RGPV0063,Nirvi Raval,Female,6th,DS,60,83,100,49,62,50,5,68.8,Average,Sana Dara,Nayantara Agrawal,A+,21-01-2001,19,Varanasi,"House No. 931, Sigra, Varanasi",24811,Uttar Pradesh,India,Yes,9814231947,ghoshdivit@gmail.com,Badminton
RGPV0064,Arhaan Baria,Male,6th,AIDS,84,65,95,62,97,49,6,73.6,Average,Kabir Chhabra,Kiara Kumar,B+,14-10-2002,20,Ahmedabad,"House No. 680, Navrangpura, Ahmedabad",389844,Gujarat,India,Yes,3329729677,anay66@varty.com,Cricket
RGPV0065,Manikya Rajan,Female,6th,DS,67,50,92,86,50,55,5,66.6,Average,Jivika Gopal,Gokul Hans,O-,28-05-2006,20,Madurai,"House No. 237, Anna Nagar, Madurai",133242,Tamil Nadu,India,No,6984863559,mannatzachariah@yahoo.com,Kabaddi
RGPV0066,Keya Ram,Female,6th,CSIT,73,46,58,69,51,41,4,53,Poor,Adah Bedi,Jivin Bains,A+,09-03-2005,20,Pune,"House No. 238, Viman Nagar, Pune",825474,Maharashtra,India,Yes,6212603643,manjari90@dutt.net,Football
RGPV0067,Pihu Bhatnagar,Male,6th,DS,68,94,96,82,95,59,7,85.2,Excellent,Sana Banerjee,Vaibhav Chakraborty,B-,09-03-2000,21,Patna,"House No. 902, Kankarbagh, Patna",348991,Bihar,India,Yes,1680089334,shaanmand@hotmail.com,
RGPV0068,Alia Borde,Male,6th,DS,61,75,83,78,62,93,6,78.2,Excellent,Mohanlal Sahni,Fateh Venkatesh,B+,01-03-2003,19,Patna,"House No. 440, Kankarbagh, Patna",941876,Bihar,India,Yes,517836112,ratikarpe@hotmail.com,Chess
RGPV0069,Mannat Bahl,Male,6th,AIML,87,58,64,43,55,82,5,60.4,Average,Ivan Chowdhury,Ela Dugar,O+,06-06-2001,20,Amritsar,"House No. 390, Lawrence Road, Amritsar",156122,Punjab,India,No,1906817469,tsathe@hotmail.com,Kabaddi
RGPV0070,Nehmat Sathe,Male,6th,AIML,82,85,94,44,76,51,5,70,Average,Kiara Lad,Bhavin Date,AB+,05-09-2007,20,Kanpur,"House No. 609, Kidwai Nagar, Kanpur",723774,Uttar Pradesh,India,No,7477366717,obasu@babu-lad.com,Kabaddi
RGPV0071,Romil Baral,Male,6th,CSE,72,55,98,57,75,45,5,66,Average,Kabir Ghose,Mannat Bail,O-,03-06-2000,19,Udaipur,"House No. 484, Hiran Magri, Udaipur",94178,Rajasthan,India,No,1103146716,mandraghav@talwar-dhar.biz,Chess
RGPV0072,Biju Bhasin,Female,6th,AIML,69,97,66,91,58,78,6,78,Excellent,Yashvi Anand,Yakshit Dutta,A+,25-02-2007,20,Surat,"House No. 491, Adajan, Surat",912848,Gujarat,India,Yes,2240364382,priyanshyadav@hotmail.com,Football
RGPV0073,Damini Jayaraman,Male,6th,CSE,90,85,80,77,69,85,6,79.2,Excellent,Manikya Char,Lakshit Dhingra,B+,23-05-2004,19,Patna,"House No. 897, Rajendra Nagar, Patna",102371,Bihar,India,Yes,9275188661,kismat77@loyal.info,Cricket
RGPV0074,Hridaan Bhat,Female,6th,DS,87,46,82,86,77,73,6,72.8,Average,Abram Chanda,Sahil Gandhi,A+,27-10-2003,19,Jaipur,"House No. 607, Mansarovar, Jaipur",243760,Rajasthan,India,No,8690275351,nehmat26@rana.net,Badminton
RGPV0075,Umang Vora,Male,6th,DS,85,40,54,95,45,64,4,59.6,Poor,Bhamini Suresh,Divit Varghese,B-,17-10-2005,20,Kolkata,"House No. 976, Garia, Kolkata",822974,West Bengal,India,Yes,9612984997,dharmajandave@hotmail.com,Chess
RGPV0076,Shlok Rajagopalan,Female,6th,AIML,94,93,64,41,51,77,5,65.2,Average,Himmat Desai,Biju Chauhan,O+,03-07-2007,20,Surat,"House No. 82, Vesu, Surat",10136,Gujarat,India,Yes,7177273773,vardaniyajoshi@khanna.com,Football
RGPV0077,Prerak Toor,Female,6th,CSIT,79,60,93,84,89,63,6,77.8,Excellent,Zoya Subramaniam,Drishya Lall,O-,22-03-2002,21,Siliguri,"House No. 920, Pradhan Nagar, Siliguri",196508,West Bengal,India,Yes,5147510699,pihu64@khanna-sane.com,
RGPV0078,Reyansh Yogi,Male,6th,CSIT,87,65,69,74,79,44,5,66.2,Average,Kashvi Ravi,Pari Bhatti,AB-,27-04-2001,19,Siliguri,"House No. 522, Pradhan Nagar, Siliguri",398200,West Bengal,India,Yes,6533208834,ehsaan39@chacko.com,
RGPV0079,Mehul Devi,Male,6th,AIML,90,59,46,40,69,91,5,61,Average,Aradhya Shankar,Vidur Sura,A+,17-03-2003,20,Udaipur,"House No. 898, Shobhagpura, Udaipur",865890,Rajasthan,India,Yes,2787455414,saksham32@hotmail.com,Chess
RGPV0080,Samaira Apte,Female,6th,CSIT,81,76,72,99,41,46,5,66.8,Average,Purab Tank,Shlok Sarraf,A+,18-10-2003,21,Siliguri,"House No. 400, Hakim Para, Siliguri",893244,West Bengal,India,Yes,8088169876,udhar@gmail.com,Chess
RGPV0081,Seher Choudhary,Male,6th,DS,96,43,83,57,69,45,4,59.4,Poor,Vivaan Ray,Mannat Kunda,O+,06-12-2000,20,Bengaluru,"House No. 315, Whitefield, Bengaluru",943227,Karnataka,India,No,1192841338,bhavin90@balan.biz,Cricket
RGPV0082,Fateh Bera,Female,6th,CSE,63,66,100,61,63,44,5,66.8,Average,Saksham Bhatia,Jayan Choudhary,A-,07-11-2006,19,Amritsar,"House No. 65, Ranjit Avenue, Amritsar",159960,Punjab,India,No,9127734242,nirvaanmalhotra@hotmail.com,Badminton
RGPV0083,Purab Saha,Male,6th,CSIT,61,52,53,90,47,96,5,67.6,Average,Hunar Ray,Tarini Trivedi,O+,01-06-2000,20,Siliguri,"House No. 150, Pradhan Nagar, Siliguri",496564,West Bengal,India,Yes,9527797465,sastryhiran@dhaliwal.com,Badminton
RGPV0084,Nirvaan Khare,Female,6th,CSIT,75,41,76,58,86,61,5,64.4,Average,Amani Bahl,Sahil Kapoor,B+,29-03-2001,19,Bhopal,"House No. 360, Arera Colony, Bhopal",388410,Madhya Pradesh,India,Yes,7250262620,yuvaan33@hotmail.com,Football
RGPV0085,Anahita Rama,Female,6th,CSIT,84,70,77,60,92,76,6,75,Excellent,Parinaaz Reddy,Fateh Sant,O+,22-05-2002,19,Jalandhar,"House No. 593, Model Town, Jalandhar",54136,Punjab,India,Yes,4058151571,chirag20@gmail.com,
RGPV0086,Devansh Chada,Male,6th,AIML,62,74,45,91,78,79,6,73.4,Average,Biju Dalal,Diya Goel,O+,28-02-2007,20,Mangalore,"House No. 156, Bejai, Mangalore",417240,Karnataka,India,No,1843203719,brarnayantara@sarna.biz,Badminton
RGPV0087,Gokul Goswami,Female,6th,AIDS,73,97,82,99,53,91,7,84.4,Excellent,Suhana Chander,Nakul Upadhyay,A+,08-09-2000,19,Amritsar,"House No. 893, GT Road, Amritsar",4724,Punjab,India,No,2159731006,anahi58@gmail.com,Badminton
RGPV0088,Drishya Kunda,Female,6th,AIDS,75,87,64,93,45,77,6,73.2,Average,Mamooty Sampath,Raghav Ben,O-,25-03-2001,19,Vadodara,"House No. 194, Alkapuri, Vadodara",527386,Gujarat,India,No,961976629,hrishitalala@sane.net,
RGPV0089,Hrishita Sawhney,Female,6th,DS,75,62,76,75,99,82,6,78.8,Excellent,Vanya Bassi,Ivana Sarna,B+,25-03-2001,20,Nagpur,"House No. 509, Sitabuldi, Nagpur",675495,Maharashtra,India,Yes,4148451214,ahana-53@gmail.com,Cricket
RGPV0090,Himanshu Thakur,Male,6th,CSIT,75,79,96,86,71,76,7,81.6,Excellent,Renee Thakur,Rajkumar Thakur,B+,01-12-2004,20,Kolkata,"House No. 656, Salt Lake, Kolkata",494497,West Bengal,India,No,6116492339,yuvraj-64@yahoo.com,Kabaddi
RGPV0091,Diya Lata,Female,6th,AIDS,94,85,42,100,91,55,6,74.6,Average,Prisha Sagar,Riya Chandra,O+,08-07-2000,21,Udaipur,"House No. 330, Shobhagpura, Udaipur",558537,Rajasthan,India,Yes,4424732222,shamik12@hotmail.com,Chess
RGPV0092,Ehsaan Comar,Male,6th,AIDS,66,43,52,49,40,50,3,46.8,Poor,Tarini Ramesh,Siya Choudhry,A-,16-07-2000,19,Ahmedabad,"House No. 69, Navrangpura, Ahmedabad",840689,Gujarat,India,No,3342553691,gulatijivika@tella-dhawan.com,Badminton
RGPV0093,Krish Zacharia,Female,6th,AIDS,95,60,66,61,94,82,6,72.6,Average,Yuvaan Sabharwal,Eshani Lalla,A-,14-03-2001,19,Ahmedabad,"House No. 472, Satellite, Ahmedabad",663642,Gujarat,India,No,5080750645,jivin82@hotmail.com,Cricket
RGPV0094,Nakul Kade,Female,6th,AIML,96,92,58,62,87,53,6,70.4,Average,Zain Acharya,Samaira Rout,AB+,18-10-2006,19,Surat,"House No. 224, Adajan, Surat",59430,Gujarat,India,No,4713908227,vidurchhabra@tara.com,
RGPV0095,Mehul Aurora,Male,6th,AIML,94,87,87,90,65,51,6,76,Excellent,Kaira Date,Jiya Krish,O+,27-07-2002,20,Bengaluru,"House No. 600, Indiranagar, Bengaluru",723913,Karnataka,India,Yes,1547977981,urvikoshy@yahoo.com,Kabaddi
RGPV0096,Samiha Wable,Female,6th,DS,63,91,57,52,73,59,5,66.4,Average,Arnav Sidhu,Renee Chauhan,O-,16-02-2005,19,Amritsar,"House No. 511, Ranjit Avenue, Amritsar",627028,Punjab,India,No,3037666532,chiragkonda@gmail.com,Cricket
RGPV0097,Baiju Sarkar,Male,6th,AIML,86,59,84,98,80,65,6,77.2,Excellent,Vidur Dyal,Armaan Sawhney,A-,16-01-2007,19,Indore,"House No. 142, Rajendra Nagar, Indore",842932,Madhya Pradesh,India,No,357599006,tarini25@gmail.com,Football
